stage,idx,SR_LOOKBACK,SR_PIVOT_WINDOW,SR_MERGE_ATR_MULT,ZONE_TOLERANCE_ATR_MULT,total,triggered,coverage,wins_1m,losses_1m,wr_1m,wins_3m,losses_3m,wr_3m,wins_5m,losses_5m,wr_5m,objective
support_resistance,1,40,2,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,2,40,2,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,3,40,2,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,4,40,2,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,5,40,2,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,6,40,2,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,7,40,2,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,8,40,2,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,9,40,2,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,10,40,3,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,11,40,3,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,12,40,3,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,13,40,3,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,14,40,3,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,15,40,3,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,16,40,3,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,17,40,3,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,18,40,3,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,19,40,4,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,20,40,4,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,21,40,4,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,22,40,4,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,23,40,4,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,24,40,4,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,25,40,4,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,26,40,4,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,27,40,4,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,28,50,2,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,29,50,2,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,30,50,2,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,31,50,2,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,32,50,2,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,33,50,2,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,34,50,2,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,35,50,2,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,36,50,2,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,37,50,3,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,38,50,3,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,39,50,3,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,40,50,3,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,41,50,3,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,42,50,3,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,43,50,3,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,44,50,3,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,45,50,3,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,46,50,4,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,47,50,4,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,48,50,4,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,49,50,4,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,50,50,4,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,51,50,4,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,52,50,4,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,53,50,4,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,54,50,4,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,55,70,2,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,56,70,2,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,57,70,2,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,58,70,2,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,59,70,2,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,60,70,2,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,61,70,2,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,62,70,2,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,63,70,2,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,64,70,3,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,65,70,3,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,66,70,3,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,67,70,3,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,68,70,3,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,69,70,3,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,70,70,3,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,71,70,3,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,72,70,3,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,73,70,4,0.3,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,74,70,4,0.3,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,75,70,4,0.3,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,76,70,4,0.5,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,77,70,4,0.5,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,78,70,4,0.5,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,79,70,4,0.8,0.6,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,80,70,4,0.8,0.8,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,81,70,4,0.8,1.0,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
